Transaction_ID,Employee_ID,Amount,Location,Timestamp
TX1001,EMP02,109.45,The Woodlands,2026-06-01 08:07:00
TX1002,EMP04,71.21,Houston,2026-06-01 08:14:00
TX1003,EMP06,145.16,Sugar Land,2026-06-01 08:21:00
TX1004,EMP13,51.06,Stafford,2026-06-01 08:28:00
TX1005,EMP06,120.72,Katy,2026-06-01 08:35:00
TX1006,EMP07,27.65,The Woodlands,2026-06-01 08:42:00
TX1007,EMP07,128.62,Stafford,2026-06-01 08:49:00
TX1008,EMP11,128.74,Sugar Land,2026-06-01 08:56:00
TX1009,EMP01,15.55,Sugar Land,2026-06-01 09:03:00
TX1010,EMP11,50.41,Houston,2026-06-01 09:10:00
TX1011,EMP03,65.18,Katy,2026-06-01 09:17:00
TX1012,EMP04,74.59,Stafford,2026-06-01 09:24:00
TX1013,EMP05,117.99,The Woodlands,2026-06-01 09:31:00
TX1014,EMP01,149.7,Stafford,2026-06-01 09:38:00
TX1015,EMP07,129.1,Stafford,2026-06-01 09:45:00
TX1016,EMP11,61.21,Houston,2026-06-01 09:52:00
TX1017,EMP09,67.16,The Woodlands,2026-06-01 09:59:00
TX1018,EMP05,78.92,Sugar Land,2026-06-01 10:06:00
TX1019,EMP11,95.81,Katy,2026-06-01 10:13:00
TX1020,EMP06,149.9,Stafford,2026-06-01 10:20:00
TX1021,EMP05,97.49,Houston,2026-06-01 10:27:00
TX1022,EMP11,59.75,The Woodlands,2026-06-01 10:34:00
TX1023,EMP09,109.64,Houston,2026-06-01 10:41:00
TX1024,EMP10,146.62,Sugar Land,2026-06-01 10:48:00
TX1025,EMP01,31.56,Katy,2026-06-01 10:55:00
TX1026,EMP09,23.81,Stafford,2026-06-01 11:02:00
TX1027,EMP04,140.1,Houston,2026-06-01 11:09:00
TX1028,EMP07,133.09,Katy,2026-06-01 11:16:00
TX1029,EMP06,100.11,Katy,2026-06-01 11:23:00
TX1030,EMP06,128.78,The Woodlands,2026-06-01 11:30:00
TX1031,EMP01,149.23,Sugar Land,2026-06-01 11:37:00
TX1032,EMP09,15.01,Stafford,2026-06-01 11:44:00
TX1033,EMP03,21.75,Houston,2026-06-01 11:51:00
TX1034,EMP02,31.35,Sugar Land,2026-06-01 11:58:00
TX1035,EMP09,29.72,Stafford,2026-06-01 12:05:00
TX1036,EMP11,78.39,Houston,2026-06-01 12:12:00
TX1037,EMP01,30.04,The Woodlands,2026-06-01 12:19:00
TX1038,EMP10,29.4,The Woodlands,2026-06-01 12:26:00
TX1039,EMP08,27.11,Stafford,2026-06-01 12:33:00
