Transaction_ID,Employee_ID,Amount,Location,Timestamp
TX1001,EMP24,45.50,Houston,2026-06-03 08:00:00
TX1002,EMP24,52.00,Houston,2026-06-03 08:15:00
TX1003,EMP12,12500.00,Stafford,2026-06-03 09:30:00
TX1004,EMP05,30.00,Houston,2026-06-03 10:00:00
TX1005,EMP24,850.00,Houston,2026-06-03 10:02:00
TX1006,EMP05,-15.00,Houston,2026-06-03 11:15:00
TX1007,EMP12,65.00,Stafford,2026-06-03 11:45:00
TX1008,EMP24,48.00,Houston,2026-06-03 12:00:00
TX1009,EMP24,15000.00,Houston,2026-06-03 13:00:00
TX1010,EMP99,CORRUPT_STRING,Houston,NOT_A_DATE
TX1011,EMP88,,Stafford,2026-06-03 14:00:00
